Title,Fuel,Km,Price(L)
2000  Maruti Suzuki Gypsy King HT,Petrol,701017,0.39
2000  Maruti Suzuki Gypsy King HT,Petrol,701017,0.39
2000  Maruti Suzuki Zen AT,Petrol,100,0.9
2000  Maruti Suzuki Zen D,Diesel,1000,0.3
2000  Maruti Suzuki Zen LX,Petrol,68000,0.7
2000  Maruti Suzuki Zen LX,Petrol,84000,0.75
2000  Maruti Suzuki Zen LX,Petrol,95000,0.5
2000  Maruti Suzuki Zen LX,Petrol,32000,0.8
2000  Maruti Suzuki Zen LX,Petrol,10000,1
2000  Maruti Suzuki Zen LX,Petrol,85000,0.65
2000  Maruti Suzuki Zen LX,Petrol,130000,0.5
2000  Maruti Suzuki Zen LX,Petrol,150000,0.5
2000  Maruti Suzuki Zen LXi,Petrol,80000,0.7
2000  Maruti Suzuki Zen LXi,Petrol,80000,0.65
2000  Maruti Suzuki Zen LXi,Petrol,7000,1.2
2000  Maruti Suzuki Zen LXi,Petrol,33000,0.75
2000  Maruti Suzuki Zen VXi,Petrol,100000,1
2000  Maruti Suzuki Zen VXi,Petrol,90000,1
2000  Mitsubishi Lancer GLXd 2.0,Diesel,200000,0.95
2000  Mitsubishi Lancer GLXd 2.0,Diesel,251000,1
2000  Mitsubishi Lancer GLXi 1.5,Petrol,120000,1.2
2000  Opel Corsa 1.4 GLS,Petrol,50000,0.55
2000  Toyota Corona Diesel,Diesel,18888,2
2000  Toyota Corona Diesel,Diesel,18888,2
2000  Toyota Corona Petrol,Petrol,9554,5
2000  Toyota Corona Petrol,Petrol,9554,5
2000  Toyota MR2 AW11 (4A-GE),Petrol,500,9
2000  Toyota MR2 AW11 (4A-GE),Petrol,500,9
2000  Toyota Qualis FS B2,Diesel,170000,2
2000  Toyota Qualis FS B5,Diesel,100000,3
2000  Toyota Qualis FS B5,Diesel,161000,1.5
2001  Ferrari F430 Spider,Petrol,22083,10
2001  Fiat Palio 1.2 ELX,Petrol,90000,0.95
2001  Ford Capri 1.6 Petrol,Petrol,123546,12.44
2001  Ford Capri 1.6 Petrol,Petrol,123546,12.44
2001  Ford Capri 1.6 Petrol,Petrol,123546,12.44
2001  Honda Accord 2.3 VTi-L MT,Petrol,40000,1.99
2001  Honda Accord 2.3 VTi-L MT,Petrol,110000,2
2001  Honda Accord 2.3 VTi-L MT,Petrol,100,12.5
2001  Honda Accord 2.3 VTi-L MT,Petrol,40000,1.99
2001  Honda Accord 2.3 VTi-L MT,Petrol,110000,2
2001  Honda Accord 2.3 VTi-L MT,Petrol,40000,1.99
2001  Honda Accord 2.3 VTi-L MT,Petrol,110000,2
2001  Hyundai Sonata GOLD,Petrol,73750,2
2001  Hyundai Sonata GOLD,Petrol,77000,3
2001  Hyundai Sonata GOLD,Petrol,73750,2
2001  Hyundai Sonata GOLD,Petrol,77000,3
2001  Hyundai Sonata GOLD,Petrol,73750,2
2001  Hyundai Sonata GOLD,Petrol,77000,3
2001  Lexus LS 600 HL Hybrid,Petrol,22000,10
2001  Mahindra Marshal DI,Diesel,25000,0.95
2001  Maruti Suzuki 1000 AC,Petrol,40000,0.3
2001  Maruti Suzuki 1000 AC,Petrol,350,2.5
2001  Maruti Suzuki 1000 AC,Petrol,312,3
2001  Maruti Suzuki 1000 AC,Petrol,250000,2.5
2001  Maruti Suzuki 1000 AC,Petrol,50000,0.5
2001  Maruti Suzuki 800 AC BS-II,Petrol,82000,0.5
2001  Maruti Suzuki 800 AC BS-II,Petrol,65000,0.75
2001  Maruti Suzuki 800 AC BS-II,Petrol,400000,4.5
2001  Maruti Suzuki 800 AC BS-II,Petrol,200000,2
2001  Maruti Suzuki 800 AC BS-III,Petrol,100010,0.65
2001  Maruti Suzuki 800 DX 5 SPEED,Petrol,90000,1
2001  Maruti Suzuki 800 DX 5 SPEED,Petrol,75000,0.47
2001  Maruti Suzuki 800 DX BS-II,Petrol,50000,0.32
2001  Maruti Suzuki 800 DX BS-II,Petrol,75000,0.75
2001  Maruti Suzuki 800 Std MPFi,Petrol,55500,0.4
2001  Maruti Suzuki Baleno Altura,Petrol,100,0.5
2001  Maruti Suzuki Baleno LXi,Petrol,20000,4
2001  Maruti Suzuki Baleno LXi,Petrol,50000,0.5
2001  Maruti Suzuki Baleno VXI,Petrol,4000,8
2001  Maruti Suzuki Zen Classic,Petrol,150,1.5
2001  Maruti Suzuki Zen LXi,Petrol,34551,0.45
2001  Maruti Suzuki Zen LXi,Petrol,130325,0.6
2001  Maruti Suzuki Zen LXi,Petrol,80000,1
2001  Maruti Suzuki Zen LXi,Petrol,95000,1
2001  Maruti Suzuki Zen LXi,Petrol,140000,0.7
2001  Maruti Suzuki Zen LXi,Petrol,60000,1.25
2001  Maruti Suzuki Zen LXi,Petrol,109000,0.8
2001  Maruti Suzuki Zen LXi,Petrol,200,1
2001  Maruti Suzuki Zen VX,Petrol,65000,0.45
2001  Maruti Suzuki Zen VXi,Petrol,197000,1.5
2001  Mercedes-Benz C-Class 180 Classic,Petrol,60000,3.75
2001  Mitsubishi Lancer GLXi 1.5,Petrol,112000,3
2001  Toyota Celica Coupe,Petrol,10000,1
2001  Toyota Celica Coupe,Petrol,10000,1
2001  Toyota FJ Cruiser Petrol,Petrol,222,2.58
2001  Toyota Qualis FS B1,Diesel,60500,2.2
2001  Toyota Qualis FS B3,Diesel,100000,2
2001  Toyota Qualis GS C8,Diesel,150000,1.45
2001  Toyota Qualis GST D5,Petrol,150000,1.75
2002  BMW 5 Series 525d Touring,Diesel,55000,8.5
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Chevrolet Tourer Convertible,Petrol,70000,1.2
2002  Fiat Palio 1.2 EL,Petrol,29958,0.8
2002  Fiat Palio 1.2 EL,Petrol,100000,0.7
2002  Fiat Petra EL 1.2,Petrol,58000,0.5
2002  Ford Ikon 1.3 EXi,Petrol,100000,0.95
2002  Ford Ikon 1.6 EXi,Petrol,100000,0.5
