year,company,model,fuel,km,price(L)
2000,Maruti Suzuki,1000,Petrol,50000,5
2000,Maruti Suzuki,1000,Petrol,20000,2
2000,Maruti Suzuki,1000,Petrol,258155,12
2000,Maruti Suzuki,1000,Petrol,100000,4
2000,Maruti Suzuki,1000,Petrol,205263,1
2000,Maruti Suzuki,1000,Petrol,100,1.5
2000,Maruti Suzuki,1000,Petrol,75000,0.85
2000,Maruti Suzuki,1000,Petrol,100000,1
2000,Maruti Suzuki,800,Petrol,85000,0.5
2000,Maruti Suzuki,800,Petrol,65000,0.35
2000,Maruti Suzuki,800,Petrol,90000,1
2000,Maruti Suzuki,800,Petrol,100,2
2000,Maruti Suzuki,800,Petrol,73000,0.95
2000,Maruti Suzuki,800,Petrol,65000,0.47
2000,Maruti Suzuki,800,Petrol,39000,0.6
2000,Maruti Suzuki,800,Petrol,24900,0.45
2000,Maruti Suzuki,800,Petrol,47000,0.75
2000,Maruti Suzuki,800,Petrol,3000,1.5
2000,Maruti Suzuki,800,Petrol,50000,1.2
2000,Maruti Suzuki,800,Petrol,95555,0.9
2000,Maruti Suzuki,Baleno,Petrol,20000,4
2000,Maruti Suzuki,Baleno,Petrol,100000,2
2000,Maruti Suzuki,Baleno,Petrol,100,5
2000,Maruti Suzuki,Baleno,Petrol,300,2.5
2000,Maruti Suzuki,Baleno,Petrol,70000,1.2
2000,Maruti Suzuki,Baleno,Petrol,211017,1
2000,Maruti Suzuki,Baleno,Petrol,6000,2
2000,Maruti Suzuki,Esteem,Petrol,100000,20
2000,Maruti Suzuki,Esteem,Petrol,54286,0.45
2000,Maruti Suzuki,Esteem,Petrol,8647,1.5
2000,Maruti Suzuki,Gypsy,Petrol,701017,0.39
2000,Maruti Suzuki,Zen,Petrol,100,0.9
2000,Maruti Suzuki,Zen,Diesel,1000,0.3
2000,Maruti Suzuki,Zen,Petrol,68000,0.7
2000,Maruti Suzuki,Zen,Petrol,84000,0.75
2000,Maruti Suzuki,Zen,Petrol,95000,0.5
2000,Maruti Suzuki,Zen,Petrol,32000,0.8
2000,Maruti Suzuki,Zen,Petrol,10000,1
2000,Maruti Suzuki,Zen,Petrol,85000,0.65
2000,Maruti Suzuki,Zen,Petrol,130000,0.5
2000,Maruti Suzuki,Zen,Petrol,150000,0.5
2000,Maruti Suzuki,Zen,Petrol,80000,0.7
2000,Maruti Suzuki,Zen,Petrol,80000,0.65
2000,Maruti Suzuki,Zen,Petrol,7000,1.2
2000,Maruti Suzuki,Zen,Petrol,33000,0.75
2000,Maruti Suzuki,Zen,Petrol,100000,1
2000,Maruti Suzuki,Zen,Petrol,90000,1
2000,Mitsubishi,Lancer,Diesel,200000,0.95
2000,Mitsubishi,Lancer,Diesel,251000,1
2000,Mitsubishi,Lancer,Petrol,120000,1.2
2000,Toyota,Corona,Diesel,18888,2
2000,Toyota,Corona,Petrol,9554,5
2000,Toyota,MR2,Petrol,500,9
2000,Toyota,Qualis,Diesel,170000,2
2000,Toyota,Qualis,Diesel,100000,3
2000,Toyota,Qualis,Diesel,161000,1.5
2001,Fiat,Palio,Petrol,90000,0.95
2001,Ford,Capri,Petrol,123546,12.44
2001,Honda,Accord,Petrol,40000,1.99
2001,Honda,Accord,Petrol,110000,2
2001,Honda,Accord,Petrol,100,12.5
2001,Hyundai,Sonata,Petrol,73750,2
2001,Hyundai,Sonata,Petrol,77000,3
2001,Lexus,LS,Petrol,22000,10
2001,Mahindra,Marshal,Diesel,25000,0.95
2001,Maruti Suzuki,1000,Petrol,40000,0.3
2001,Maruti Suzuki,1000,Petrol,350,2.5
2001,Maruti Suzuki,1000,Petrol,312,3
2001,Maruti Suzuki,1000,Petrol,250000,2.5
2001,Maruti Suzuki,1000,Petrol,50000,0.5
2001,Maruti Suzuki,800,Petrol,82000,0.5
2001,Maruti Suzuki,800,Petrol,65000,0.75
2001,Maruti Suzuki,800,Petrol,400000,4.5
2001,Maruti Suzuki,800,Petrol,200000,2
2001,Maruti Suzuki,800,Petrol,100010,0.65
2001,Maruti Suzuki,800,Petrol,90000,1
2001,Maruti Suzuki,800,Petrol,75000,0.47
2001,Maruti Suzuki,800,Petrol,50000,0.32
2001,Maruti Suzuki,800,Petrol,75000,0.75
2001,Maruti Suzuki,800,Petrol,55500,0.4
2001,Maruti Suzuki,Baleno,Petrol,100,0.5
2001,Maruti Suzuki,Baleno,Petrol,20000,4
2001,Maruti Suzuki,Baleno,Petrol,50000,0.5
2001,Maruti Suzuki,Baleno,Petrol,4000,8
2001,Maruti Suzuki,Zen,Petrol,150,1.5
2001,Maruti Suzuki,Zen,Petrol,34551,0.45
2001,Maruti Suzuki,Zen,Petrol,130325,0.6
2001,Maruti Suzuki,Zen,Petrol,80000,1
2001,Maruti Suzuki,Zen,Petrol,95000,1
2001,Maruti Suzuki,Zen,Petrol,140000,0.7
2001,Maruti Suzuki,Zen,Petrol,60000,1.25
2001,Maruti Suzuki,Zen,Petrol,109000,0.8
2001,Maruti Suzuki,Zen,Petrol,200,1
2001,Maruti Suzuki,Zen,Petrol,65000,0.45
2001,Maruti Suzuki,Zen,Petrol,197000,1.5
2001,Mercedes-Benz,C-Class,Petrol,60000,3.75
2001,Mitsubishi,Lancer,Petrol,112000,3
2001,Toyota,Celica,Petrol,10000,1
2001,Toyota,FJ,Petrol,222,2.58
2001,Toyota,Qualis,Diesel,60500,2.2
2001,Toyota,Qualis,Diesel,100000,2
2001,Toyota,Qualis,Diesel,150000,1.45
2001,Toyota,Qualis,Petrol,150000,1.75
2002,BMW,5 Series,Diesel,55000,8.5
2002,Chevrolet,Tourer,Petrol,70000,1.2
2002,Fiat,Palio,Petrol,29958,0.8
2002,Fiat,Palio,Petrol,100000,0.7
2002,Fiat,Petra,Petrol,58000,0.5
2002,Ford,Ikon,Petrol,100000,0.95
2002,Ford,Ikon,Petrol,100000,0.5
2002,Ford,Ikon,Petrol,50000,0.7
2002,Ford,Zephyr,Petrol,78500,2.5
2002,Hindustan Motors,Ambassador,Diesel,83000,1.5
2002,Hindustan Motors,Contessa,LPG,70000,4.1
